# using postmaster on localhost, port 28818
ok 155       - sparql_csv_tsv                             26 ms
ok 156       - sparql_cursor                              25 ms
ok 157       - sparql_delete_data                         21 ms
ok 158       - sparql_depth_limit                         19 ms
ok 159       - sparql_dl                                  21 ms
ok 160       - sparql_explain_analyze                     20 ms
ok 161       - sparql_explain_jsonb                       20 ms
ok 162       - sparql_federation                         565 ms
ok 163       - sparql_federation_perf                    375 ms
ok 164       - sparql_federation_timeout                  14 ms
ok 165       - sparql_graph_management                    62 ms
ok 166       - sparql_having_filter                       22 ms
ok 167       - sparql_injection                           46 ms
ok 168       - sparql_insert_data                         23 ms
ok 169       - sparql_insert_delete                       23 ms
ok 170       - sparql_lang_filter                         43 ms
ok 171       - sparql_not_exists                          22 ms
ok 172       - sparql_numeric_functions                   24 ms
ok 173       - sparql_optional_exists                     26 ms
ok 174       - sparql_optional_in_graph                   35 ms
ok 175       - sparql_optional_in_graph_rare              32 ms
ok 176       - sparql_optional_multi                      25 ms
ok 177       - sparql_order_limit                         21 ms
ok 178       - sparql_path_alternation                    24 ms
ok 179       - sparql_path_in_graph                       37 ms
ok 180       - sparql_protocol                            56 ms
ok 181       - sparql_queries                             24 ms
ok 182       - sparql_repair                              13 ms
ok 183       - sparql_star_annotation                     83 ms
ok 184       - sparql_star_conformance                    72 ms
ok 185       - sparql_star_update                         51 ms
ok 186       - sparql_string_functions                    25 ms
ok 187       - sparql_subquery                            23 ms
ok 188       - sparql_tabling                             22 ms
ok 189       - sparql_topn                                19 ms
ok 190       - sparql_union_branches                      23 ms
ok 191       - sparql_update_add_copy_move               218 ms
ok 192       - sparql_update_advanced                    330 ms
ok 193       - sparql_update_where                        37 ms
ok 194       - sparql_values_clause                       22 ms
ok 195       - sparql_views                               24 ms
ok 196       - sparql_wcoj                                27 ms
ok 197       - sql_api_completeness                       47 ms
ok 198       - storage_tombstone_gc                       12 ms
ok 199       - supplementary_features                     43 ms
ok 200       - telemetry                                  14 ms
ok 201       - temporal_rdf                               19 ms
ok 202       - temporal_rdf_post_merge                    52 ms
ok 203       - trickle_graceful_degradation               65 ms
ok 204       - trickle_integration                       102 ms
ok 205       - triple_crud                                51 ms
ok 206       - upgrade_path                              189 ms
ok 207       - v062_features                              26 ms
ok 208       - v066_features                              32 ms
ok 209       - v067_features                              52 ms
ok 210       - v068_features                              55 ms
ok 211       - v069_features                              76 ms
ok 212       - v070_features                              19 ms
ok 213       - v071_features                              45 ms
ok 214       - v073_features                              46 ms
ok 215       - v075_features                              91 ms
ok 216       - v076_features                              22 ms
ok 217       - v077_features                              68 ms
ok 218       - v078_features                              33 ms
ok 219       - v079_features                              14 ms
ok 220       - v079_shacl_sparql_rule                     29 ms
ok 221       - v079_wcoj                                  38 ms
ok 222       - v083_features                             115 ms
ok 223       - v085_features                              46 ms
ok 224       - v086_features                              81 ms
ok 225       - vector_binary                              14 ms
ok 226       - vector_contextualize                      155 ms
ok 227       - vector_crud                                21 ms
ok 228       - vector_federation                          16 ms
ok 229       - vector_filter                              20 ms
ok 230       - vector_graceful                            12 ms
ok 231       - vector_halfvec                             13 ms
ok 232       - vector_hybrid                              19 ms
ok 233       - vector_rag                                 18 ms
ok 234       - vector_rag_jsonld                          20 ms
ok 235       - vector_refresh                             17 ms
ok 236       - vector_setup                               15 ms
ok 237       - vector_sparql                              19 ms
ok 238       - vector_worker                              22 ms
ok 239       - w3c_shacl_conformance                     166 ms
ok 240       - w3c_sparql_query_conformance               74 ms
ok 241       - w3c_sparql_update_conformance             460 ms
1..241
# 2 of 241 tests failed.
# The differences that caused some tests to fail can be viewed in the file "/home/runner/work/pg-ripple/pg-ripple/tests/pg_regress/regression.diffs".
# A copy of the test summary that you see above is saved in the file "/home/runner/work/pg-ripple/pg-ripple/tests/pg_regress/regression.out".
